Clave CT,Nombre CT,Clave Turno,Descripción Turno,Zona Escolar,Descripción Mpio.,Descripción Cat. Pob.,Longitud,Latitud,Docentes,Nivel,Modalidad
11EDI0010W,CENTRO DE DESARROLLO INFANTIL GABRIELA MISTRAL,1,Matutino,888,Guanajuato,U Urbana,-101.258428,21.011431,5,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0020C,MARTHA CATALINA GARCIA OLIVARES,1,Matutino,888,León,U Urbana,-101.57459,21.098651,4,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0016Q,CENTRO DE DESARROLLO INFANTIL,1,Matutino,1,Apaseo el Alto,U Urbana,-100.62019,20.45997,5,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0018O,CENTRO DE DESARROLLO INFANTIL MARIA MONTESSORI,1,Matutino,1,Apaseo el Grande,U Urbana,-100.68831,20.54531,3,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0001O,CENTRO DE DESARROLLO INFANTIL DIF,1,Matutino,888,Acámbaro,U Urbana,-100.727904,20.022944,2,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0011V,RINCON DE TAMAYO,4,Discontinuo,1,Celaya,U Urbana,-100.746935,20.423463,0,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0002N,CENTRO DE DESARROLLO INFANTIL DIF SAN MIGUEL DE ALLENDE,1,Matutino,888,San Miguel de Allende,U Urbana,-100.74839,20.9173,0,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0017P,MARIA MONTESSORI,4,Discontinuo,1,Comonfort,U Urbana,-100.76144,20.71723,1,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0003M,CENTRO DE DESARROLLO INFANTIL DIF CELAYA,1,Matutino,1,Celaya,U Urbana,-100.795736,20.523334,0,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0004L,CENTRO DE DESARROLLO INFANTIL DIF DOLORES HIDALGO,1,Matutino,888,Dolores Hidalgo Cuna de la Independencia Nacional,U Urbana,-100.93158,21.15689,0,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0014S,CENTRO DE ATENCION Y DESARROLLO INFANTIL,4,Discontinuo,1,Santa Cruz de Juventino Rosas,U Urbana,-100.98765,20.64471,5,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0015R,CENTRO DE DESARROLLO INTEGRAL,4,Discontinuo,888,Villagrán,U Urbana,-100.995308,20.51151,0,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0019N,CENTRO ASISTENCIAL DE DESARROLLO INFANTIL,1,Matutino,888,Yuriria,U Urbana,-101.11939,20.21364,5,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0009G,CENTRO DE DESARROLLO INFANTIL DIF SALAMANCA,1,Matutino,888,Salamanca,U Urbana,-101.20499,20.55644,4,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0005K,CENTRO DE DESARROLLO INFANTIL DIF ESTATAL,1,Matutino,888,Guanajuato,U Urbana,-101.2388,21.00314,0,INICIAL ESCOLARIZADO,CENDI Estatal
11EDI0008H,CENTRO DE DESARROLLO INFANTIL DIF IRAPUATO,1,Matutino,888,Irapuato,U Urbana,-101.35536,20.67611,4,INICIAL ESCOLARIZADO,CENDI Estatal
